instance,lb,ub,gap,status_ref,known_opt,found_obj,correct,time_sec,timed_out
N4C1W4_N.txt,363,363,0,Solved,363,363,True,4.8037,False
N4C1W4_O.txt,351,351,0,Solved,351,,,7.4586,True
N4C1W4_P.txt,363,363,0,Solved,363,363,True,4.8809,False
N4C1W4_Q.txt,359,359,0,Solved,359,,,7.4907,True
N4C1W4_R.txt,370,370,0,Solved,370,370,True,4.7993,False
N4C1W4_S.txt,359,359,0,Solved,359,,,7.4678,True
N4C1W4_T.txt,355,355,0,Solved,355,,,7.4629,True
N4C2W1_A.txt,210,210,0,Solved,210,210,True,4.9968,False
N4C2W1_B.txt,213,213,0,Solved,213,213,True,4.955,False
N4C2W1_C.txt,213,213,0,Solved,213,213,True,4.9618,False
N4C2W1_D.txt,200,200,0,Solved,200,200,True,5.0449,True
N4C2W1_E.txt,215,215,0,Solved,215,,,7.4347,True
N4C2W1_F.txt,203,203,0,Solved,203,203,True,4.9697,False
N4C2W1_G.txt,211,211,0,Solved,211,,,7.4776,True
N4C2W1_H.txt,215,215,0,Solved,215,215,True,4.8397,False
N4C2W1_I.txt,209,209,0,Solved,209,209,True,4.8682,False
N4C2W1_J.txt,202,202,0,Solved,202,,,7.447,True
N4C2W1_K.txt,210,210,0,Solved,210,,,7.4747,True
N4C2W1_L.txt,209,209,0,Solved,209,209,True,4.8933,False
N4C2W1_M.txt,217,217,0,Solved,217,217,True,6.1422,True
N4C2W1_N.txt,210,210,0,Solved,210,210,True,4.8584,False
N4C2W1_O.txt,212,212,0,Solved,212,212,True,4.8254,False
N4C2W1_P.txt,212,212,0,Solved,212,,,7.4686,True
N4C2W1_Q.txt,210,210,0,Solved,210,210,True,4.9168,False
N4C2W1_R.txt,212,212,0,Solved,212,,,7.4462,True
N4C2W1_S.txt,210,210,0,Solved,210,210,True,4.866,False
N4C2W1_T.txt,212,212,0,Solved,212,212,True,4.8604,False
N4C2W2_A.txt,253,253,0,Solved,253,253,True,4.823,False
N4C2W2_B.txt,254,254,0,Solved,254,,,7.4275,True
N4C2W2_C.txt,249,249,0,Solved,249,,,7.4456,True
N4C2W2_D.txt,258,258,0,Solved,258,,,7.4411,True
N4C2W2_E.txt,257,257,0,Solved,257,257,True,4.8033,False
N4C2W2_F.txt,272,272,0,Solved,272,272,True,4.8062,False
N4C2W2_G.txt,252,252,0,Solved,252,252,True,4.8234,False
N4C2W2_H.txt,255,255,0,Solved,255,,,7.438,True
N4C2W2_I.txt,262,262,0,Solved,262,262,True,4.818,False
N4C2W2_J.txt,256,256,0,Solved,256,256,True,4.8506,False
N4C2W2_K.txt,259,259,0,Solved,259,,,7.453,True
N4C2W2_L.txt,263,263,0,Solved,263,263,True,4.968,False
N4C2W2_M.txt,261,261,0,Solved,261,,,7.4576,True
N4C2W2_N.txt,264,264,0,Solved,264,,,7.4406,True
N4C2W2_O.txt,253,253,0,Solved,253,,,7.4297,True
N4C2W2_P.txt,266,266,0,Solved,266,266,True,4.875,False
N4C2W2_Q.txt,257,257,0,Solved,257,,,7.4961,True
N4C2W2_R.txt,256,256,0,Solved,256,256,True,4.9987,False
N4C2W2_S.txt,273,273,0,Solved,273,273,True,5.0241,True
N4C2W2_T.txt,256,256,0,Solved,256,,,7.4514,True
N4C2W4_A.txt,293,293,0,Solved,293,,,7.4845,True
N4C2W4_B.txt,281,281,0,Solved,281,,,7.4529,True
N4C2W4_C.txt,295,295,0,Solved,295,,,7.4352,True
N4C2W4_D.txt,295,295,0,Solved,295,295,True,4.815,False
N4C2W4_E.txt,287,287,0,Solved,287,,,7.4434,True
N4C2W4_F.txt,304,304,0,Solved,304,304,True,4.8163,False
N4C2W4_G.txt,291,291,0,Solved,291,,,7.4453,True
N4C2W4_H.txt,296,296,0,Solved,296,296,True,4.867,False
N4C2W4_I.txt,287,287,0,Solved,287,,,7.4789,True
N4C2W4_J.txt,300,300,0,Solved,300,300,True,4.885,False
N4C2W4_K.txt,289,289,0,Solved,289,,,7.4357,True
N4C2W4_L.txt,297,297,0,Solved,297,,,7.4327,True
N4C2W4_M.txt,287,287,0,Solved,287,,,7.3918,True
N4C2W4_N.txt,299,299,0,Solved,299,299,True,4.8546,False
N4C2W4_O.txt,293,293,0,Solved,293,,,7.4328,True
N4C2W4_P.txt,301,301,0,Solved,301,,,7.4326,True
N4C2W4_Q.txt,293,293,0,Solved,293,293,True,4.9242,False
N4C2W4_R.txt,300,300,0,Solved,300,300,True,4.9374,False
N4C2W4_S.txt,293,293,0,Solved,293,293,True,4.8763,False
N4C2W4_T.txt,287,287,0,Solved,287,287,True,4.8689,False
N4C3W1_A.txt,164,164,0,Solved,164,164,True,5.2364,True
N4C3W1_B.txt,165,165,0,Solved,165,165,True,5.2797,True
N4C3W1_C.txt,166,166,0,Solved,166,166,True,5.2802,True
N4C3W1_D.txt,158,158,0,Solved,158,158,True,5.301,True
N4C3W1_E.txt,165,165,0,Solved,165,165,True,5.2127,True
N4C3W1_F.txt,164,164,0,Solved,164,164,True,5.1398,True
N4C3W1_G.txt,169,169,0,Solved,169,169,True,5.2474,True
N4C3W1_H.txt,170,170,0,Solved,170,170,True,5.1627,True
N4C3W1_I.txt,167,167,0,Solved,167,,,7.4395,True
N4C3W1_J.txt,169,169,0,Solved,169,169,True,5.3169,True
N4C3W1_K.txt,164,164,0,Solved,164,164,True,5.1703,True
N4C3W1_L.txt,163,163,0,Solved,163,163,True,5.2873,True
N4C3W1_M.txt,167,167,0,Solved,167,167,True,5.2619,True
N4C3W1_N.txt,176,176,0,Solved,176,176,True,5.028,True
N4C3W1_O.txt,169,169,0,Solved,169,169,True,5.1124,True
N4C3W1_P.txt,167,167,0,Solved,167,167,True,5.28,True
N4C3W1_Q.txt,176,176,0,Solved,176,176,True,5.1626,True
N4C3W1_R.txt,167,167,0,Solved,167,167,True,5.3674,True
N4C3W1_S.txt,168,168,0,Solved,168,168,True,5.2597,True
N4C3W1_T.txt,173,173,0,Solved,173,173,True,5.2537,True
N4C3W2_A.txt,203,203,0,Solved,203,,,7.4589,True
N4C3W2_B.txt,203,203,0,Solved,203,,,7.468,True
N4C3W2_C.txt,201,201,0,Solved,201,,,7.4259,True
N4C3W2_D.txt,201,201,0,Solved,201,,,7.449,True
N4C3W2_E.txt,200,200,0,Solved,200,,,7.4745,True
N4C3W2_F.txt,209,209,0,Solved,209,,,7.4589,True
N4C3W2_G.txt,201,201,0,Solved,201,,,7.4263,True
N4C3W2_H.txt,201,201,0,Solved,201,201,True,5.3242,True
N4C3W2_I.txt,198,198,0,Solved,198,,,7.4431,True
N4C3W2_J.txt,204,204,0,Solved,204,204,True,5.3212,True
N4C3W2_K.txt,204,204,0,Solved,204,,,7.4297,True
N4C3W2_L.txt,201,201,0,Solved,201,,,7.4449,True
N4C3W2_M.txt,198,198,0,Solved,198,,,7.3772,True
N4C3W2_N.txt,198,198,0,Solved,198,,,7.4621,True
N4C3W2_O.txt,209,209,0,Solved,209,,,7.4126,True
N4C3W2_P.txt,202,202,0,Solved,202,,,7.4476,True
N4C3W2_Q.txt,199,199,0,Solved,199,,,7.4654,True
N4C3W2_R.txt,194,194,0,Solved,194,,,7.4985,True
N4C3W2_S.txt,196,196,0,Solved,196,,,7.4669,True
N4C3W2_T.txt,195,195,0,Solved,195,,,7.439,True
N4C3W4_A.txt,216,216,0,Solved,216,,,7.3995,True
N4C3W4_B.txt,215,215,0,Solved,215,,,7.4801,True
N4C3W4_C.txt,218,218,0,Solved,218,,,7.4415,True
N4C3W4_D.txt,215,215,0,Solved,215,,,7.3862,True
N4C3W4_E.txt,219,219,0,Solved,219,,,7.4733,True
N4C3W4_F.txt,222,222,0,Solved,222,,,7.42,True
N4C3W4_G.txt,222,222,0,Solved,222,,,7.4466,True
N4C3W4_H.txt,219,219,0,Solved,219,,,7.4991,True
N4C3W4_I.txt,224,224,0,Solved,224,,,7.4436,True
N4C3W4_J.txt,213,213,0,Solved,213,,,7.4674,True
N4C3W4_K.txt,215,215,0,Solved,215,,,7.4433,True
N4C3W4_L.txt,219,219,0,Solved,219,,,7.4278,True
N4C3W4_M.txt,216,216,0,Solved,216,,,7.4427,True
N4C3W4_N.txt,225,225,0,Solved,225,,,7.4412,True
N4C3W4_O.txt,226,226,0,Solved,226,,,7.4724,True
N4C3W4_P.txt,219,219,0,Solved,219,,,7.4326,True
N4C3W4_Q.txt,222,222,0,Solved,222,,,7.4322,True
N4C3W4_R.txt,214,214,0,Solved,214,,,7.4036,True
N4C3W4_S.txt,216,216,0,Solved,216,,,7.4612,True
N4C3W4_T.txt,216,216,0,Solved,216,,,7.462,True
